OBJECTID,FOLIO,ID,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,EMAIL,TYPE,GRADES,CAPACITY,ENROLLMNT,REGION,LAT,LON,POINT_X,POINT_Y,CREATED BY,CREATED DATE,MODIFIED BY,MODIFIED DATE,GlobalID,x,y,
11,3.04926E+12,7532,Miami Sunset Adult Education, ,13125 SW 72nd St, ,Miami-Dade,33183,305-365-4255,,O,0,0,0, ,25.70156,-80.40422,852348.1958,497666.1968,E316899,6/11/2020 9:42,E316899,4/3/2023 13:12,f8358238-ecf2-4b8b-b186-57411f7fe66a,-8950555.965,2962165.402,
12,1.4116E+11,7841,English Center, ,3501 SW 28th St, ,Miami,33133,305-445-7731,,O,0,0,0,AC,25.73991,-80.25164,902507.5625,511859.4999,E316899,6/11/2020 9:42,E316899,3/31/2023 15:40,57378787-077d-4c17-ba2e-75d79020a2ff,-8933572.416,2966903.666,
13,3.05922E+12,2151,Jack D. Gordon  Elementary, ,14600 Country Walk Dr, ,Miami-Dade,33186,305-234-4805,,E,PK-5,1051,848,S,25.63004,-80.42992,843996.7712,471633.3443,E316899,6/11/2020 9:42,E316899,4/3/2023 11:45,0a8c09da-79b4-4356-8fe5-36e3fd12fb93,-8953417.146,2953331.792,
14,1.4103E+11,9001,Former Region Office/Warehouse,South Central Regional Office,2201 SW 4th St, ,Miami,33135,305-642-7555,,A,0,0,0, ,25.76896,-80.23125,909160.1869,522455.6599,E316899,6/11/2020 9:42,E316899,3/31/2023 15:49,4623c503-084a-4371-9552-9d519f39fb91,-8931301.924,2970493.798,
15,2.33209E+12,5481,Treasure Island Elementary, ,7540 E Treasure Dr, ,North Bay Village,33141,305-865-3141,,E,PK-5,915,411,N,25.84661,-80.14668,936809.4904,550850.8387,E316899,6/11/2020 9:42,E316899,4/5/2023 11:41,dc665da8-7a69-4be4-9019-2d1906babf5b,-8921887.827,2980095.551,
16,3.02133E+12,7061,School For Advanced Studies North,Room 111,11380 NW 27th Ave,Room 1111,Miami-Dade,33167,305-237-1089,,S,12-Nov,0,127,S,25.87793,-80.24566,904190.9107,562038.3003,E316899,6/11/2020 9:42,E316899,4/4/2023 15:19,da03bf59-5461-457d-a51f-fdc9599fe827,-8932905.92,2983971.074,
17,2.3202E+11,321,Biscayne Beach Elementary, ,800 77th St, ,Miami Beach,33141,305-868-7727,,E,PK-5,822,577,N,25.86171,-80.12652,943402.6094,556384.4277,E316899,6/11/2020 9:42,E316899,3/24/2023 12:32,d9f07190-3af1-4a80-aa02-2875809e949c,-8919643.958,2981963.971,
18,3.05936E+12,8911,Robert Morgan Educational Center and Technical College, ,18180 SW 122nd Ave, ,Miami-Dade,33177,305-253-9920,,O,0,0,0,S,25.59915,-80.39007,857177.0096,460464.8771,E316899,6/11/2020 9:42,E316899,4/3/2023 15:08,4837cef6-d7da-4cd9-abd6-1727ffe79a78,-8948981.514,2949518.357,
19,1.3231E+11,7001,Miami-Dade Online Academy, ,1501 NE 2nd Ave,336,Miami,33132,305-995-1257,,S,K-12,0,181,AC,25.78977,-80.19044,922543.4829,530100.6365,E316899,6/11/2020 9:42,E316899,3/22/2023 15:07,6f5cb5f2-716c-4369-a812-7b1a8aac12cc,-8926759.373,2973066.667,
20,6.2216E+11,7048,Alonzo and Tracy Mourning Senior High,Biscayne Bay,2601 NE 151st St, ,North Miami,33160,305-919-2000,,S,12-Sep,1445,1582,N,25.91647,-80.14704,936525.8235,576244.878,E316899,6/11/2020 9:42,E316899,3/23/2023 15:26,b66707b6-0673-4731-a3fb-1f125841ffd7,-8921927.979,2988740.156,
21,1.31361E+11,5931,Phillis Wheatley Elementary, ,1801 NW 1st Pl, ,Miami,33136,305-573-2638,,E,PK-5,620,179,C,25.79353,-80.19817,919992.0473,531453.4826,E316899,6/11/2020 9:42,E316899,4/3/2023 14:50,84916aff-0ca7-49e8-8d0c-2f971af555a5,-8927619.712,2973532.139,
22,1.31361E+11,9606,Anna Brenner Meyers Telecommunication Complex, ,172 NE 15th St, ,Miami,33132,305-995-1717,,A,0,0,0, ,25.78929,-80.19188,922070.22,529922.4303,E316899,6/11/2020 9:42,E316899,3/23/2023 15:50,b8f19c3d-f962-4755-bfbd-611a137373d9,-8926919.843,2973007.041,
23,3.04922E+12,271,Bent Tree Elementary, ,4861 SW 140th Ave, ,Miami-Dade,33175,305-221-0461,,E,PK-5,641,410,S,25.72133,-80.42071,846884.174,504827.273,E316899,6/11/2020 9:42,E316899,3/24/2023 12:31,db9d05f5-537d-4b9b-8ff2-cde27907c928,-8952392.492,2964607.957,
24,4.2025E+11,7132,Hialeah-Miami Lakes Adult Education, ,7977 W 12th Ave, ,Hialeah,33014,305-823-1330,,O,0,0,0, ,25.89496,-80.30732,883882.8746,568114.6247,E316899,6/11/2020 9:42,E316899,3/17/2023 15:39,6793a04c-270f-4d17-8674-9cb54945572c,-8939770.302,2986077.683,
25,3.03109E+12,521,Broadmoor Elementary, ,3401 NW 83rd St, ,Miami-Dade,33147,305-691-0861,,E,PK-5,708,528,C,25.84959,-80.25367,901613.6873,551721.1872,E316899,6/11/2020 9:42,E316899,3/24/2023 12:46,9c1494c7-27bb-4cb4-891c-afe1a98a62d7,-8933798.275,2980464.635,
26,3.04921E+12,4691,Jane S. Roberts K-8 Center, ,14850 Cottonwood Cir, ,Miami-Dade,33185,305-220-8254,,E,PK-8,1053,649,S,25.7165,-80.4332,842777.2438,503053.9086,E316899,6/11/2020 9:42,E316899,4/3/2023 11:56,db972452-7268-474c-b66d-8fd69d6055b5,-8953783.673,2964011.152,
27,3.5302E+12,5101,John I. Smith K-8 Center, ,10415 NW 52nd St, ,Doral,33178,305-406-0220,,E,PK-8,1118,1025,C,25.82051,-80.36469,865152.0581,540960.3511,E316899,6/11/2020 9:42,E316899,4/3/2023 12:05,e9b59fb6-2edb-477b-85f8-050aee6ae240,-8946157.033,2976868.181,
28,3.42117E+12,8101,Jan Mann Opportunity School, ,16101 NW 44th Ct, ,Miami Gardens,33054,305-625-0855,,ALT,12-Jun,393,62,AC,25.92121,-80.27275,895196.3663,577717.9778,E316899,6/11/2020 9:42,E316899,4/3/2023 11:55,687a4f35-9e25-490e-85ec-56b6f2c31e1e,-8935921.557,2989326.585,
29,3.02106E+12,5991,Charles David Wyche Jr. Elementary, ,5241 NW 195th Dr, ,Miami-Dade,33055,305-628-5776,,E,PK-5,937,555,N,25.94993,-80.28808,890102.5246,588127.2887,E316899,6/11/2020 9:42,E316899,3/24/2023 13:00,3e278a3f-4787-4687-8552-09349f87587f,-8937627.536,2992881.091,
30,3.04909E+12,6052,Miami Arts Studio 6-12 at Zelda Glazer, ,15015 SW 24th St, ,Miami-Dade,33185,305-485-2323,,S,PK6-12,1671,1779,S,25.7441,-80.43914,840783.8509,513075.5357,E316899,6/11/2020 9:42,E316899,3/22/2023 15:06,7117df32-eb37-4aca-b722-2a36931f7af1,-8954443.238,2967421.281,
31,3.42115E+12,4541,Rainbow Park Elementary, ,15355 NW 19th Ave, ,Miami Gardens,33054,305-688-4631,,E,PK-5,560,225,N,25.91464,-80.23187,908645.0411,575405.5385,E316899,6/11/2020 9:42,E316899,4/3/2023 15:02,a2aa657b-31c9-4e3f-833d-be150b37f941,-8931371.501,2988513.064,
32,3.06005E+12,261,Bel-Aire Elementary, ,10205 SW 194th St, ,Cutler Bay,33157,305-233-5401,,E,PK-5,616,334,S,25.58789,-80.35582,868483.535,456427.4863,E316899,6/11/2020 9:42,E316899,3/24/2023 12:29,163cb4bc-8b7a-4519-b7fa-c2e9070c2741,-8945169.19,2948129.102,
33,1.31271E+11,111,Maya Angelou Elementary, ,1850 NW 32nd St, ,Miami,33142,305-636-3480,,E,PK-5,713,679,C,25.80531,-80.22677,910555.125,535676.9371,E316899,6/11/2020 9:42,E316899,4/3/2023 12:47,59de3e33-ec9d-40e7-94a7-3fb537cf515a,-8930803.854,2974988.024,
34,3.07905E+12,7701,South Dade Senior High, ,28401 SW 167th Ave, ,Miami-Dade,33030,305-247-4244,,S,12-Sep,3302,3085,S,25.50137,-80.46048,834113.9586,424826.9327,E316899,6/11/2020 9:42,E316899,4/4/2023 15:28,a83f03a7-3b4f-4c4a-aa5a-489cf7b15206,-8956820.382,2937453.739,
35,3.04021E+12,7741,Southwest Miami Senior High, ,8855 SW 50th Ter, ,Miami-Dade,33165,305-274-0181,,S,12-Sep,2845,2436,S,25.72204,-80.33815,874063.9528,505214.0204,E316899,6/11/2020 9:42,E316899,4/4/2023 15:37,07feb717-8d63-4ff1-9bf5-e7e0298734cb,-8943202.099,2964696,
36,3.4108E+11,961,Coral Gables Preparatory Academy,Main Campus,105 Minorca Ave, ,Coral Gables,33134,305-448-1731,,E,PK-8,479,0,C,25.75414,-80.25782,900445.6494,517020.0001,E316899,6/11/2020 9:42,E316899,3/24/2023 13:08,612b93bf-5936-45f8-9032-d93e465f3f7b,-8934259.84,2968662.315,
37,3.06018E+12,4461,Pine Villa Elementary, ,21799 SW 117th Ct, ,Miami-Dade,33170,305-258-5366,,E,PK-5,834,262,S,25.56442,-80.38094,860246.4857,447855.9442,E316899,6/11/2020 9:42,E316899,4/3/2023 14:52,e75abafc-56e3-49d9-be15-5544a3fedfba,-8947964.62,2945231.929,
38,2.72033E+12,7191,Hialeah Gardens Senior High, ,11700 Hialeah Gardens Blvd, ,Hialeah Gardens,33018,305-698-5000,,S,12-Sep,2599,2795,N,25.87968,-80.35386,868608.4354,562482.7698,E316899,6/11/2020 9:42,E316899,3/17/2023 15:55,6b68370a-b0a5-4301-91ff-d5f38b09c21c,-8944951.618,2984186.984,
39,3.53007E+12,122,Dr. Rolando Espinosa K-8 Center, ,11250 NW 86th St, ,Doral,33178,305-889-5757,,E,PK-8,1381,823,C,25.85127,-80.3804,859936.3123,552116.1834,E316899,6/11/2020 9:42,E316899,3/24/2023 14:26,96108aef-713e-4305-95c7-8c354834e33a,-8947904.201,2980672.781,
40,3.42108E+12,681,Carol City Elementary, ,4375 NW 173rd Dr, ,Miami Gardens,33055,305-621-0509,,E,PK-5,637,298,N,25.93335,-80.27156,895561.7817,582132.5209,E316899,6/11/2020 9:42,E316899,3/24/2023 12:52,75d5ad9e-99f0-45ac-a83e-5f55913f0b74,-8935789.491,2990829.196,
41,2.72033E+12,2371,West Hialeah Gardens Elementary, ,11990 NW 92nd Ave, ,Hialeah Gardens,33018,305-818-4000,,E,PK-5,1241,1153,N,25.88184,-80.34812,870496.4014,563277.5236,E316899,6/11/2020 9:42,E316899,4/5/2023 11:45,882a110c-ca24-428b-8507-a39d3ceaaeb0,-8944311.097,2984454.347,
42,1.3124E+11,4961,Shadowlawn Elementary, ,149 NW 49th St, ,Miami,33127,305-758-3673,,E,PK-5,398,131,C,25.82096,-80.19877,919734.0221,541422.076,E316899,6/11/2020 9:42,E316899,4/4/2023 15:24,98d727ac-c9fe-4f04-8c51-e8f1151fda6a,-8927686.47,2976923.871,
43,1.411E+11,5001,Shenandoah Elementary, ,1023 SW 21st Ave, ,Miami,33135,305-643-4433,,E,PK-5,968,829,C,25.76279,-80.22818,910184.1021,520219.4031,E316899,6/11/2020 9:42,E316899,4/4/2023 15:25,8545de4a-8005-4e3b-a4a1-16963429b6ad,-8930960.031,2969731.27,
44,3.05027E+12,6861,Southwood Middle, ,16301 SW 80th Ave, ,Palmetto Bay,33157,305-251-5361,,M,8-Jun,1696,1090,S,25.61952,-80.32207,879548.0924,467978.7974,E316899,6/11/2020 9:42,E316899,4/4/2023 15:38,98919166-8ec4-4e10-b1c7-51fbddfdede8,-8941412.397,2952033.503,
45,3.42102E+12,3701,Norland Elementary, ,19340 NW 8th Ct, ,Miami Gardens,33169,305-652-6074,,E,PK-5,708,583,N,25.95185,-80.21636,913664.5299,588961.3014,E316899,6/11/2020 9:42,E316899,4/3/2023 13:22,a1f7a83b-ed2e-4176-90b2-cfc8ffe03335,-8929644.202,2993119.319,
46,3.0592E+12,125,Norma Butler Bossard Elementary, ,15950 SW 144th St, ,Miami-Dade,33196,305-254-5200,,E,PK-5,1032,1059,S,25.63201,-80.45262,836514.9035,472316.7924,E316899,6/11/2020 9:42,E316899,4/3/2023 13:23,d40a849d-e126-41e4-bb5d-9dbb8bf81abc,-8955943.988,2953574.688,
47,1.07812E+12,4611,Redondo Elementary, ,18480 SW 304th St, ,Homestead,33030,305-247-5943,,E,PK-3,719,514,S,25.48335,-80.49146,823922.3697,418237.1336,E316899,6/11/2020 9:42,E316899,4/3/2023 15:04,7fc315a9-1201-4ef7-9139-7a2672280e5b,-8960268.513,2935231.267,
48,3.04911E+12,6901,W. R. Thomas Middle, ,13001 SW 26th St, ,Miami-Dade,33175,305-995-3800,,M,8-Jun,959,664,S,25.74479,-80.40559,851823.2332,513375.6289,E316899,6/11/2020 9:42,E316899,4/5/2023 11:44,019b7f5c-ed6a-408a-a9cf-bc85ffbf45b6,-8950709.518,2967506.883,
49,3.04024E+12,1761,David Fairchild Elementary, ,5757 SW 45th St, ,Miami-Dade,33155,305-665-5483,,E,PK-5,710,481,C,25.7296,-80.28739,890759.7813,508046.4057,E316899,6/11/2020 9:42,E316899,3/24/2023 14:03,832202f0-8d86-4ded-9d01-56c6a38dbcfc,-8937551.951,2965629.366,
50,3.0502E+12,6781,Richmond Heights Middle, ,15015 SW 103rd Ave, ,Miami-Dade,33176,305-238-2316,,M,8-Jun,973,448,S,25.62968,-80.3596,867164.2902,471610.609,E316899,6/11/2020 9:42,E316899,4/3/2023 15:07,d7b8fa9c-ea93-4b90-839c-a76190f6a739,-8945589.968,2953288.107,
51,3.03128E+12,8141,Juvenile Justice Center, ,3300 NW 27th Ave, ,Miami-Dade,33142,305-638-5054,,ALT,12-Jun,278,65,AC,25.80638,-80.24054,906027.5886,536039.7464,E316899,6/11/2020 9:42,E316899,4/3/2023 12:08,c41c39f3-7f3f-49ee-867b-4b99fed33ef4,-8932334.98,2975120.415,
52,1.31251E+11,331,Chapman Partnership Early Childhood Center North, ,1550 North Miami Ave, ,Miami,33136,305-329-3057,,E,PK,0,44,AC,25.78993,-80.1952,920976.6876,530149.5625,E316899,6/11/2020 9:42,E316899,3/24/2023 12:58,4145c6ce-f2ec-4c36-bf21-fc457abff1cf,-8927289.303,2973086.575,
53,2.3234E+11,7202,Miami Beach Adult & Community Education Center, ,1424 Drexel Ave, ,Miami Beach,33139,305-531-0451,,O,0,0,0,AC,25.78641,-80.13327,941363.3449,529000.701,E316899,6/11/2020 9:42,E316899,4/3/2023 12:53,ef92b5f7-83c2-4edf-ad0f-71ce4472e827,-8920395.311,2972651.804,
54,6.2229E+11,561,W.J. Bryan Elementary, ,1201 NE 125th St, ,North Miami,33161,305-891-0602,,E,PK-5,762,627,N,25.89129,-80.17347,927898.8124,567034.1751,E316899,6/11/2020 9:42,E316899,4/5/2023 11:45,d504e043-16b9-498e-99ab-eb275ba004b8,-8924869.159,2985623.102,
55,3.04016E+12,4721,Rockway Elementary, ,2790 SW 93rd Ct, ,Miami-Dade,33165,305-221-1192,,E,PK-5,554,361,C,25.74404,-80.34637,871318.6298,513195.2608,E316899,6/11/2020 9:42,E316899,4/3/2023 15:13,0883c6cf-7ec6-4499-b494-ff438659ef05,-8944116.952,2967414.193,
56,3.04926E+12,7531,Miami Sunset Senior High, ,13125 SW 72nd St, ,Miami-Dade,33183,305-385-4255,,S,12-Sep,1957,1086,S,25.70156,-80.40422,852348.1958,497666.1968,E316899,6/11/2020 9:42,E316899,4/3/2023 13:13,5b4e0589-c594-4ebe-bc7e-9bfc89a0d91d,-8950555.965,2962165.402,
57,3.05933E+12,6001,Herbert A. Ammons Middle, ,17475 SW 157th Ave, ,Miami-Dade,33187,305-971-0158,,M,8-Jun,747,980,S,25.60436,-80.44579,838803.9984,462278.8358,E316899,6/11/2020 9:42,E316899,4/10/2023 13:25,5e1aa080-32c0-4bc6-8854-d930afb5daa3,-8955184.773,2950161.819,
58,6.2219E+11,3941,North Miami Elementary, ,655 NE 145th St, ,North Miami,33161,305-949-0998,,E,PK-5,764,451,N,25.90889,-80.18619,923673.3624,573407.3384,E316899,6/11/2020 9:42,E316899,4/3/2023 13:33,4b4ef884-d951-4f8a-bd31-f168e9c16278,-8926286.414,2987801.837,
59,3.03116E+12,8017,Educational Alternative Outreach Program, ,6300 NW 27th Ave, ,Miami-Dade,33147,305-694-4444,,ALT,0,0,0,AC,25.83249,-80.2417,905591.4987,545527.6568,E316899,6/11/2020 9:42,E316899,3/24/2023 15:57,c27c8abd-3365-418b-a69f-c8414e4c4364,-8932464.022,2978349.305,
60,3.04934E+12,2651,Kendale Lakes Elementary, ,8000 SW 142nd Ave, ,Miami-Dade,33183,305-385-2575,,E,PK-5,882,722,S,25.69231,-80.42572,845281.1872,494270.6561,E316899,6/11/2020 9:42,E316899,4/3/2023 12:09,bec75380-33df-42d9-9ce4-662ef2708718,-8952950.001,2961021.917,
61,4.2034E+11,5021,Ben Sheppard Elementary, ,5700 W 24th Ave, ,Hialeah,33016,305-556-2204,,E,PK-5,1088,936,N,25.87422,-80.33175,875889.7431,560535.9029,E316899,6/11/2020 9:42,E316899,3/24/2023 12:29,25d4d588-dddf-4c53-91f5-69d195707afb,-8942489.836,2983511.87,
62,3.0503E+12,9230,Transportation Center Administrative Offices,Main Office,15401 SW 117th Ave, ,Miami-Dade,33177,305-234-3365,,A,0,0,0, ,25.62436,-80.38095,860136.9648,469642.154,E316899,6/11/2020 9:42,E316899,4/5/2023 11:32,355a6f22-b992-43b9-a122-dba697e3781b,-8947967.265,2952630.782,
63,3.06924E+12,3621,Coconut Palm K-8 Academy, ,24400 SW 124th Ave, ,Miami-Dade,33032,305-257-0500,,E,PK-8,1499,1257,S,25.54131,-80.39341,856171.244,439440.6848,E316899,6/11/2020 9:42,E316899,3/24/2023 13:06,f3fb0f88-93d6-4fa6-91df-153259182a28,-8949353.679,2942381.429,
64,3.03111E+12,9221,Maintenance Operations Plant Operations Center, ,11035 SW 84th St, ,Miami-Dade,33173,305-995-1550,,A,0,0,0, ,25.69197,-80.37176,863049.3089,494229.9805,E316899,6/11/2020 9:42,E316899,4/3/2023 12:41,f3a9c89d-8a9b-4223-9ba3-fde5f0eac257,-8946943.93,2960980.617,
65,3.04021E+12,7742,Southwest Miami Adult Center, ,8855 SW 50th Ter, ,Miami-Dade,33165,305-274-0181,,O,0,0,0, ,25.72204,-80.33815,874063.9528,505214.0204,E316899,6/11/2020 9:42,E316899,4/4/2023 15:36,6cb5a457-5584-40fe-abb8-b0569f74dc3b,-8943202.099,2964696,
66,3.04016E+12,6821,Rockway Middle, ,9393 SW 29th Ter, ,Miami-Dade,33165,305-221-8212,,M,8-Jun,1374,1000,C,25.74247,-80.34768,870890.316,512623.4041,E316899,6/11/2020 9:42,E316899,4/3/2023 15:14,939ed623-9078-47e4-9afa-8e73d02d0ff9,-8944262.752,2967220.472,
67,3.412E+11,721,George Washington Carver Elementay, ,238 Grand Ave, ,Coral Gables,33133,305-443-5286,,E,PK-5,486,556,C,25.72722,-80.25896,900123.5835,507235.0667,E316899,6/11/2020 9:42,E316899,3/31/2023 15:54,658060de-a8d4-437e-a022-4b261ce58f94,-8934387.349,2965336.002,
68,3.42115E+12,641,Bunche Park Elementary, ,16001 Bunche Park School Dr, ,Miami Gardens,33054,305-621-1469,,E,PK-5,388,247,N,25.9204,-80.23837,906496.4382,577488.187,E316899,6/11/2020 9:42,E316899,3/24/2023 12:48,738425dc-ebf1-4b6b-b7ab-209a7b51df28,-8932095.025,2989226.482,
69,3.41136E+12,6023,Andover Middle, ,121 NE 207th St, ,Miami Gardens,33179,305-654-2727,,M,8-Jun,1243,455,N,25.96623,-80.19921,919269.5434,594222.1188,E316899,6/11/2020 9:42,E316899,3/23/2023 15:47,c22efdc7-8cca-4343-b769-17390b80c8f6,-8927734.584,2994899.699,
70,3.42111E+12,4881,Scott Lake Elementary, ,1160 NW 175th St, ,Miami Gardens,33169,305-624-1443,,E,PK-5,678,468,N,25.93429,-80.22,912506.2497,582571.312,E316899,6/11/2020 9:42,E316899,4/4/2023 15:23,c6b43c09-2794-4aaf-8eef-3e0cdf19f965,-8930049.467,2990945.405,
71,3.53007E+12,7241,Ronald W. Reagan/Doral Senior High, ,8600 NW 107th Ave, ,Doral,33178,305-805-1900,,S,12-Sep,1776,1566,C,25.85259,-80.37145,862873.9827,552607.2081,E316899,6/11/2020 9:42,E316899,4/3/2023 15:23,0a16c416-8f2c-4bbb-bdad-78e186686acf,-8946909.068,2980835.142,
72,1.4104E+11,121,Auburndale Elementary, ,3255 SW 6th St, ,Miami,33135,305-445-3587,,E,PK-5,1037,746,C,25.76693,-80.2481,903617.6258,521688.5495,E316899,6/11/2020 9:42,E316899,3/23/2023 15:54,93d7eb69-d09d-440a-820f-dd7f50b9b4d1,-8933178.092,2970243.793,
73,3.412E+11,6071,George Washington Carver Middle, ,4901 Lincoln Dr, ,Coral Gables,33133,305-444-7388,,M,8-Jun,880,957,C,25.7259,-80.25896,900126.7028,506753.9234,E316899,6/11/2020 9:42,E316899,3/31/2023 15:54,255816e5-6d0f-4ba2-a300-b61d1e31d304,-8934387.208,2965172.424,
74,1.31251E+11,2351,Eneida Massas Hartner Elementary, ,401 NW 29th St, ,Miami,33127,305-573-8181,,E,PK-5,713,390,C,25.80407,-80.20201,918704.6126,535274.2824,E316899,6/11/2020 9:42,E316899,3/24/2023 15:57,fac1b284-532e-4c9c-b909-e80ffc48fa8d,-8928047.417,2974834.5,
75,1.41031E+11,801,Citrus Grove K-8 Center, ,2153 NW 3rd St, ,Miami,33125,305-642-5055,,E,PK-8,2383,0,C,25.77657,-80.23009,909524.6786,525223.6555,E316899,6/11/2020 9:42,E316042,6/25/2024 15:27,aaadfb78-4799-4b1b-8584-f26df002d710,-8931173.17,2971434.451,
76,3.02204E+12,4061,Ojus Elementary, ,18600 W Dixie Hwy, ,Miami-Dade,33180,305-931-4881,,E,PK-5,1030,798,N,25.94785,-80.14934,935696.0522,587644.1768,E316899,6/11/2020 9:42,E316899,4/3/2023 13:37,b9ff7151-3071-438a-b141-70785a03663d,-8922183.913,2992623.885,
77,1.3122E+11,8012,Pace Center for Girls, ,1400 NW 36th St, ,Miami-Dade,33142,786-254-2460,,O,12-Jun,0,33,AC,25.8094,-80.22019,912713.3752,537175.1873,E316899,6/11/2020 9:42,E316042,6/26/2024 10:47,0b0ecaeb-be64-49ec-a92b-958711342fb5,-8930070.635,2975493.382,
78,4.31061E+11,7111,Hialeah Senior High, ,251 E 47th St, ,Hialeah,33013,305-822-1500,,S,12-Sep,3315,1744,N,25.86544,-80.27776,893660.8747,557438.2494,E316899,6/11/2020 9:42,E316899,3/17/2023 15:58,1f1c4122-2f38-456a-91e6-375e7a2a5e13,-8936479.393,2982425.484,
79,3.0503E+12,9235,Transportation Center Southwest,Southwest,15501 SW 117th Ave, ,Miami-Dade,33177,305-234-0046,,A,0,0,0, ,25.62386,-80.38072,860213.9983,469460.9393,E316899,6/11/2020 9:42,E316899,4/5/2023 11:37,7c5b0464-0fc2-4015-912f-8cf87382a18f,-8947941.526,2952569.103,
80,1.3114E+11,2501,Holmes Elementary, ,1175 NW 67th St, ,Miami,33150,305-836-3421,,E,PK-5,572,379,C,25.83604,-80.21618,913975.3285,546866.5947,E316899,6/11/2020 9:42,E316899,3/17/2023 16:00,eb0065c0-1f34-4cde-9475-959e06a196f8,-8929624.115,2978788.171,
81,3.02219E+12,2911,Linda Lentin K-8 Center, ,14312 NE 2nd Ct, ,Miami-Dade,33161,305-891-4011,,E,PK-8,1072,667,N,25.90685,-80.19435,920996.0005,572648.8124,E316899,6/11/2020 9:42,E316899,4/3/2023 12:35,7e5c926c-99e6-4cdc-8218-70897ec57acd,-8927194.625,2987549.209,
82,3.03103E+12,8121,C.O.P.E. Center North, ,9950 NW 19th Ave, ,Miami-Dade,33147,305-836-3300,,ALT,12-Jul,378,47,AC,25.86577,-80.23046,909216.1249,557646.6246,E316899,6/11/2020 9:42,E316899,3/24/2023 12:49,d59ccf5b-e3b3-4fa3-a482-a6f20ad966cd,-8931213.377,2982466.336,
